Experimento,Celulas,Plasmido,Luciferasa,Renilla
M7_06_06_38,MCF7,MED-R,,
M7_06_06_39,MCF7,MED-R,,
M7_06_06_40,MCF7,MED-R,,
M7_06_06_41,MCF7,FIN-F,,
M7_06_06_42,MCF7,FIN-F,,
M7_06_06_43,MCF7,FIN-F,,
M7_06_06_44,MCF7,FIN-R,,
M7_06_06_45,MCF7,FIN-R,,
M7_06_06_46,MCF7,FIN-R,,
M7_06_06_41,MCF7,MYC-MT-F,,
M7_06_06_43,MCF7,MYC-MT-F,,
M7_06_06_44,MCF7,MYC-MT-R,,
M7_06_06_45,MCF7,MYC-MT-R,,
M7_06_06_46,MCF7,MYC-MT-R,,
